"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"267","Oklahoma State","Public","Big 12",2007,0,2008,-0.1
"268","Oregon State","Public","Pac 12",2007,-2.2,2008,-10.2
"269","Penn State","Public","Big 10",2007,0,2008,13.6
"270","Purdue","Public","Big 10",2007,4.4,2008,15.5
"271","Stanford","Private","Pac 12",2007,25,2008,5.6
"272","Texas Tech","Public","Big 12",2007,7.7,2008,35
"273","Alabama","Public","SEC",2007,7.7,2008,29.3
"274","Tennessee","Public","SEC",2007,2.2,2008,1.7
"275","Texas","Public","Big 12",2007,0,2008,8.3
"276","Arizona","Public","Pac 12",2007,-8.3,2008,-11.4
"277","Arkansas","Public","SEC",2007,-9.9,2008,18.8
"278","California","Public","Pac 12",2007,-23.1,2008,5.6
"279","UCLA","Public","Pac 12",2007,-7.7,2008,7.2
"280","Florida","Public","SEC",2007,-23.6,2008,9.1
"281","Georgia","Public","SEC",2007,15.4,2008,5.9
"282","Illinois","Public","Big 10",2007,52.6,2008,7.4
"283","Iowa","Public","Big 10",2007,3.8,2008,6.2
"284","Kansas","Public","Big 12",2007,42.3,2008,1.2
"285","Kentucky","Public","SEC",2007,0,2008,5.9
"286","Maryland","Public","ACC",2007,-23.1,2008,16.1
"287","Michigan","Public","Big 10",2007,-15.4,2008,8.5
"288","Minnesota","Public","Big 10",2007,-37.8,2008,11.8
"289","Mississippi","Public","SEC",2007,-8.3,2008,0.3
"290","North Carolina","Public","ACC",2007,8.3,2008,1.8
"291","Oklahoma","Public","Big 12",2007,0,2008,15.2
"292","Oregon","Public","Pac 12",2007,15.4,2008,4.3
"293","South Carolina","Public","SEC",2007,-11.5,2008,7.5
"294","Southern California","Private","Pac 12",2007,0,2008,6.3
"295","Virginia","Public","ACC",2007,27.6,2008,3.2
"296","Washington","Public","Pac 12",2007,-10.9,2008,11.8
"297","Wisconsin","Public","Big 10",2007,-23.1,2008,9.1
"298","Vanderbilt","Private","SEC",2007,8.3,2008,31.2
"299","Wake Forest","Private","ACC",2007,-9.3,2008,26.1
"300","Washington State","Public","Pac 12",2007,-8.3,2008,4.4
"301","Arizona State","Public","Pac 12",2008,-35.3,2009,8.7
"302","Auburn","Public","SEC",2008,-27.6,2009,-12.9
"303","Baylor","Private","Big 12",2008,8.3,2009,23.3
"304","Clemson","Public","ACC",2008,-15.4,2009,1.7
"305","Duke","Private","ACC",2008,25,2009,5.8
"306","Florida State","Public","ACC",2008,15.4,2009,-8
"307","Georgia Tech","Public","ACC",2008,15.4,2009,6.1
"308","Indiana","Public","Big 10",2008,-28.8,2009,5.9
"309","Iowa State","Public","Big 12",2008,-8.3,2009,13.5
"310","Kansas State","Public","Big 12",2008,0,2009,-10.4
"311","LSU","Public","SEC",2008,-24.2,2009,31.8
"312","Michigan State","Public","Big 10",2008,15.4,2009,-0.8
"313","Mississippi State","Public","SEC",2008,-28.2,2009,50.8
"314","North Carolina State","Public","ACC",2008,4.5,2009,7.9
"315","Northwestern","Private","Big 10",2008,19.2,2009,14.1
"316","Ohio State","Public","Big 10",2008,-7.7,2009,1.9
"317","Oklahoma State","Public","Big 12",2008,15.4,2009,18
"318","Oregon State","Public","Pac 12",2008,0,2009,6
"319","Penn State","Public","Big 10",2008,15.4,2009,-1.2
"320","Purdue","Public","Big 10",2008,-28.2,2009,-9.1
